timestamp,device_id,file_ops,process_creations,registry_edits,network_calls,avg_entropy,autorun_present,macro_exec,signed_binary,sandbox_score,label
1734359642,USB-8615,10,0,0,2,6.940088007347186,0,0,1,0.31508711030056386,0
1734359643,USB-2800,9,2,0,7,5.112856533749125,0,0,1,0.6391672208247994,0
1734359644,USB-1874,6,0,0,1,4.427813269638836,0,0,1,0.13862624165285434,0
1734359645,USB-8950,6,2,1,2,4.30246476007739,0,0,1,0.45574472624023554,0
1734359646,USB-1913,8,1,0,2,5.891332232336751,0,0,1,0.2216010926706838,0
1734359647,USB-6456,8,0,3,4,6.191676475989151,0,0,1,0.49827062936042477,0
1734359648,USB-3026,9,1,0,3,5.052393070391279,0,0,1,0.5559624945032672,0
1734359649,USB-1031,13,0,0,2,5.075482360399973,0,0,1,0.17865032294129612,0
1734359650,USB-6305,13,2,1,0,5.557472421407629,0,0,1,0.48193508968439314,0
1734359651,USB-3119,14,1,0,2,5.838435212521964,0,0,1,0.720431643744111,0
1734359652,USB-7371,13,1,1,2,4.642438640447158,0,0,0,0.6655301027302437,0
1734359653,USB-7757,7,0,1,4,5.6826888363376415,0,0,1,0.699238612364896,0
1734359654,USB-8917,6,1,0,1,5.092304150548991,0,0,1,0.6232040143053945,0
1734359655,USB-6471,12,1,1,3,5.516000917239646,0,0,1,0.590328608981127,0
1734359656,USB-6867,13,1,1,2,5.45442874170971,0,0,1,0.33894139312079496,0
1734359657,USB-2686,10,0,3,3,5.9626136845126165,0,0,1,0.5869985210260282,0
1734359658,USB-7052,80,9,4,16,6.44029274173793,1,0,0,1.0,1
1734359659,USB-9975,91,8,6,18,7.403070281577958,1,0,0,1.0,1
1734359660,USB-9199,10,1,0,5,5.538810670075456,0,0,1,0.6537545243621199,0
1734359661,USB-5728,8,1,1,3,4.440202932228017,1,0,1,0.3441151560282816,0
1734359662,USB-7571,8,0,1,4,4.6372840798487776,0,0,1,0.4790346307485957,0
1734359663,USB-2074,76,7,4,15,7.885436889980333,0,1,0,1.0,1
1734359664,USB-2246,76,6,6,20,6.3880751964680025,1,1,1,1.0,1
1734359665,USB-3582,97,11,4,18,6.793047248404689,1,0,0,1.0,1
1734359666,USB-9549,8,0,0,5,5.2832253778296225,0,0,1,0.30095576326446666,0
1734359667,USB-3608,9,0,0,0,4.633606043301549,0,0,1,0.19188546927618072,0
1734359668,USB-7973,87,7,2,13,6.86982807849308,0,0,0,1.0,1
1734359669,USB-3429,11,0,1,1,5.895129412853189,0,0,1,0.4859943675173002,0
1734359670,USB-2649,12,0,1,4,4.597732298090371,0,0,0,0.32393264088337637,0
1734359671,USB-8169,8,0,3,1,4.94560423965195,0,0,1,0.5669779908230571,0
1734359672,USB-6969,6,1,0,1,5.567522843714117,0,0,1,0.5028848429665773,0
1734359673,USB-3423,80,4,7,16,6.0662703965581315,1,0,1,1.0,1
1734359674,USB-3749,72,12,9,11,7.608274806206454,0,0,0,1.0,1
1734359675,USB-4550,7,0,0,4,4.062343075898164,0,0,1,0.5248745983937017,0
1734359676,USB-7294,90,8,4,22,6.611892323241877,0,0,0,1.0,1
1734359677,USB-1938,11,4,0,1,4.58022070972942,0,0,1,0.37773750793513494,0
1734359678,USB-8978,74,4,2,16,5.913088750288484,0,1,0,1.0,1
1734359679,USB-2543,14,3,1,4,5.404994146651652,0,0,1,0.5721941757964127,0
1734359680,USB-2604,7,1,0,2,5.03183318705675,0,0,1,0.3195004062117851,0
1734359681,USB-2972,9,1,2,5,5.270025402126983,0,0,1,0.4726574124494124,0
1734359682,USB-4580,11,0,2,0,4.911508851499497,0,0,1,0.3771209698135528,0
1734359683,USB-9353,9,1,1,0,4.785654346473519,0,0,1,0.15343099995767623,0
1734359684,USB-4984,76,8,8,14,5.124223890924021,1,0,0,1.0,1
1734359685,USB-3024,8,0,0,1,5.729115687354079,0,0,0,0.45742705839315584,0
1734359686,USB-3659,14,0,1,4,4.5040673975767165,0,0,1,0.6397061173440771,0
1734359687,USB-4712,88,5,6,21,7.40038092165025,0,0,0,1.0,1
1734359688,USB-7510,10,0,1,1,3.9492061674715035,0,0,1,0.22790345678635968,0
1734359689,USB-5141,74,5,5,16,6.557118514665153,1,0,0,1.0,1
1734359690,USB-1100,91,10,4,20,6.432515158835017,0,0,0,1.0,1
1734359691,USB-6857,89,6,3,18,7.0758017278908545,0,1,0,1.0,1
1734359692,USB-1207,7,0,0,1,4.840821891372133,0,0,1,0.25590551085770036,0
1734359693,USB-6692,6,3,1,4,5.8488499304223796,0,0,1,0.4773902363110393,0
1734359694,USB-9872,12,3,1,3,4.37368387533011,0,0,1,0.636685762310811,0
1734359695,USB-3991,91,3,5,23,7.124231550925046,1,0,0,1.0,1
1734359696,USB-6336,13,3,0,1,5.364429891661056,0,1,1,0.6689764598099381,0
1734359697,USB-5091,80,7,6,17,5.6558911352470576,1,0,0,1.0,1
1734359698,USB-1999,10,1,1,5,4.741078564843772,0,0,1,0.4773751534293396,0
1734359699,USB-9412,84,9,3,23,6.7318318291295025,0,1,0,1.0,1
1734359700,USB-4163,78,5,5,11,6.7615071199039205,0,0,0,1.0,1
1734359701,USB-7012,12,2,0,4,5.5489044326138925,0,0,0,0.6814152689042358,0
1734359702,USB-4547,89,3,0,11,6.213084994429227,0,0,0,1.0,1
1734359703,USB-6935,14,1,0,2,5.298344814469266,0,0,1,0.6419492208143347,0
1734359704,USB-9652,13,2,0,8,5.159748414741107,0,0,1,0.7662406047005567,0
1734359705,USB-3932,9,0,0,6,5.015656688352075,0,1,1,0.5823478008395978,0
1734359706,USB-1820,75,6,7,18,6.542186614115946,1,1,0,1.0,1
1734359707,USB-5258,89,8,5,17,6.979912258460491,0,0,0,1.0,1
1734359708,USB-1256,78,10,3,13,7.855796745305143,0,0,0,1.0,1
1734359709,USB-5670,88,4,6,10,6.424422729470941,0,0,1,1.0,1
1734359710,USB-8533,10,0,1,3,5.091726659716105,0,0,1,0.5271663362350909,0
1734359711,USB-8841,11,1,0,8,3.994584860531271,0,0,0,0.5788655278482796,0
1734359712,USB-5170,12,0,0,2,5.9170519107388095,0,0,1,0.46869316589562615,0
1734359713,USB-1477,4,1,1,7,5.1805495905934835,0,0,1,0.5415382586125443,0
1734359714,USB-2428,7,1,0,1,5.09422471517437,0,0,1,0.2807744612547903,0
1734359715,USB-9780,17,0,0,1,5.418835504310277,0,0,1,0.5488808629643434,0
1734359716,USB-3347,92,7,5,19,6.20922187832023,1,0,0,1.0,1
1734359717,USB-7494,8,1,0,2,4.802435864389984,0,1,1,0.34281033112025056,0
1734359718,USB-1351,17,1,0,8,4.481705966625401,0,0,1,0.782268254154039,0
1734359719,USB-3275,71,7,3,23,6.586355716151015,1,1,0,1.0,1
1734359720,USB-4664,14,2,0,6,4.849442165141455,0,0,1,0.8639164221101222,0
1734359721,USB-5443,16,0,0,5,4.70032229811554,0,0,1,0.5326619679838069,0
1734359722,USB-6677,70,5,2,11,6.2978155272547385,1,0,0,1.0,1
1734359723,USB-2991,8,0,0,5,6.040126983310289,0,0,1,0.5323331164014027,0
1734359724,USB-8162,8,2,0,6,5.052682594494754,0,0,1,0.6471307468920304,0
1734359725,USB-1885,15,2,0,3,4.297805739160818,0,0,1,0.4907201403275488,0
1734359726,USB-1034,13,1,0,4,5.379572092824721,0,0,1,0.6646585111495892,0
1734359727,USB-3202,74,5,4,17,5.67525752707532,0,0,0,1.0,1
1734359728,USB-3789,84,6,7,15,7.456325389245779,0,0,0,1.0,1
1734359729,USB-4301,5,1,1,3,5.382204026301036,0,0,1,0.283359464844505,0
1734359730,USB-5768,10,0,0,3,5.306272920446461,0,0,1,0.45586529040231233,0
1734359731,USB-7195,12,1,1,4,4.633964101020571,0,0,1,0.2830233118442295,0
1734359732,USB-8972,12,2,1,5,5.225212907050509,0,0,1,0.6912479431918706,0
1734359733,USB-9357,12,0,0,7,5.386763749826335,0,0,1,0.6180038933636809,0
1734359734,USB-1044,11,2,0,4,5.171030962464247,0,0,1,0.8019820945808082,0
1734359735,USB-8298,83,8,6,19,7.667385893374504,0,0,0,1.0,1
1734359736,USB-1610,14,1,1,2,5.143487353890649,0,0,1,0.732593257366684,0
1734359737,USB-9625,14,0,1,3,4.89220872526407,0,0,0,0.49949408490854064,0
1734359738,USB-1434,7,3,1,4,5.259540694455532,0,0,1,0.5384783888191712,0
1734359739,USB-4434,84,8,4,12,7.514782790093897,1,1,1,1.0,1
1734359740,USB-7691,70,6,7,13,5.297995591972907,0,1,0,1.0,1
1734359741,USB-2476,10,3,0,3,4.997388060774175,1,0,1,0.31090231186806416,0
1734359742,USB-6532,10,1,0,2,4.918120470538861,0,0,1,0.4058524328788969,0
1734359743,USB-7943,11,1,0,1,5.156868708991939,0,0,1,0.3182709381559634,0
1734359744,USB-1806,9,3,2,1,4.996403265989077,0,0,1,0.251268752359962,0
1734359745,USB-3811,82,9,3,18,7.226141192412568,1,1,0,1.0,1
1734359746,USB-5028,72,7,5,17,7.381935282202573,0,0,0,1.0,1
1734359747,USB-5343,13,1,1,5,5.760051063699686,0,0,1,0.652957507615085,0
1734359748,USB-4721,10,1,2,3,5.038679842655246,0,0,1,0.4315562364198785,0
1734359749,USB-1893,9,0,1,5,5.414692754457816,0,0,1,0.22424583626499955,0
1734359750,USB-5207,71,7,5,14,8.0,0,0,0,1.0,1
1734359751,USB-1747,6,0,0,8,4.524358393414771,0,0,0,0.6356522286158321,0
1734359752,USB-4053,12,0,0,2,4.838491379425459,0,0,1,0.43408133622207073,0
1734359753,USB-1092,60,1,4,11,8.0,1,1,0,1.0,1
1734359754,USB-3573,7,2,1,3,3.770177317891332,0,0,1,0.4740210775647275,0
1734359755,USB-5914,12,1,1,3,5.774683805431453,0,0,1,0.5069913370411105,0
1734359756,USB-2572,18,1,0,1,5.571011312663152,0,0,1,0.5607971989177422,0
1734359757,USB-6144,9,1,0,1,4.84424829420219,0,0,1,0.49029837422158273,0
1734359758,USB-5887,72,9,3,10,6.789991342737809,0,0,0,1.0,1
1734359759,USB-4223,10,2,0,6,5.318179251328887,0,0,0,0.6673918695264595,0
1734359760,USB-6627,7,2,0,3,5.445502545617368,0,0,0,0.4766437384773816,0
1734359761,USB-5970,77,7,5,14,6.254854001907985,1,1,1,1.0,1
1734359762,USB-7543,14,1,0,3,4.738108828094772,0,0,1,0.7127887131818154,0
1734359763,USB-7836,97,9,3,19,6.617508588931189,0,0,0,1.0,1
1734359764,USB-3904,86,8,10,18,7.023394120039994,1,0,0,1.0,1
1734359765,USB-9541,7,0,0,4,4.845937100997495,0,0,1,0.2297777530601841,0
1734359766,USB-5420,83,5,3,10,7.035801003991915,0,0,0,1.0,1
1734359767,USB-5321,9,0,0,3,4.851328203810398,0,0,1,0.5562059607816404,0
1734359768,USB-5570,9,0,1,1,4.942503288640607,0,0,1,0.4891836694384874,0
1734359769,USB-4658,77,4,4,13,5.304634995749069,0,0,0,1.0,1
1734359770,USB-3816,84,7,8,13,5.435317715074996,1,0,0,1.0,1
1734359771,USB-7004,6,3,0,3,5.296783026611523,0,0,1,0.677069767548914,0
1734359772,USB-9535,68,10,3,18,5.869973393909397,0,1,0,1.0,1
1734359773,USB-1498,9,4,0,1,4.714463013825946,0,0,1,0.6847983261670774,0
1734359774,USB-7450,11,2,1,4,4.59337990559376,0,0,1,0.8133889408154213,0
1734359775,USB-4515,57,7,4,17,7.74995968750649,1,0,0,1.0,1
1734359776,USB-7271,10,1,0,2,4.4650318366483654,0,0,1,0.2997964116669932,0
1734359777,USB-5302,79,5,5,6,5.3898072158924375,0,1,0,1.0,1
1734359778,USB-3316,11,1,1,4,5.241164886956623,0,0,1,0.5117602395635223,0
1734359779,USB-1636,75,9,4,17,6.597461100566961,0,1,0,1.0,1
1734359780,USB-6816,7,1,0,1,5.784308816757235,0,0,1,0.19348013473722275,0
1734359781,USB-8563,78,6,8,14,6.0214260951518535,1,0,0,1.0,1
1734359782,USB-8264,74,3,6,22,6.240524133769403,0,1,0,1.0,1
1734359783,USB-5925,65,7,3,15,5.829616685659576,0,0,0,1.0,1
1734359784,USB-8831,12,0,1,3,5.751078833949224,0,0,0,0.44273784634165514,0
1734359785,USB-7328,89,9,6,15,6.767936006843003,1,1,0,1.0,1
1734359786,USB-1411,9,2,0,3,5.937740828370222,0,0,1,0.47533762873455326,0
1734359787,USB-7806,6,2,1,2,5.544087458194274,0,0,0,0.8788941467874378,0
1734359788,USB-6592,13,3,1,3,5.448212962989747,0,0,1,0.3433935829782328,0
